SellAgent,SellSideNumber,SellAgentRanked
Peter Micheli,1,Low
Peter Scotti,2,Low
Peter Skeffington,3,Low
Peter Suter,1,Low
Peter Wasylyk,1,Low
Phil Slocum,1,Low
Philip Marlow,1,Low
Philip Renzi,1,Low
Phillip Tirrell,1,Low
Phyllis Ibbotson,1,Low
Phyllis Van Orden Nathanson,1,Low
Polly Emilita,1,Low
Qing Lu Zhu,2,Low
Rachael Dotson,1,Low
Rachel Baptista,4,Low
Rachel Jones,2,Low
Rachel McNally,1,Low
Rachel Wills,5,Low
Rachele Sullivan,1,Low
Rafael Salvador,1,Low
Ralph Bello,15,Medium
Ralph Buontempo,11,Low
Ralph Buontempo III,5,Low
Ralph Curti,8,Low
Ralph Gianfrancesco,12,Medium
Ramiro Encizo,4,Low
Ramon Betances,1,Low
Ramona Cummings,7,Low
Randy Ball,1,Low
Rani Vails,1,Low
Raquel Storti,1,Low
Ray Harrington,2,Low
Ray Hill,3,Low
Ray King,1,Low
Ray Majeau,5,Low
Ray Merolla,5,Low
Ray Reall,1,Low
Ray Sirico,16,Medium
Raymond Boucher,1,Low
"Raymond Horbert, Jr.",9,Low
Raymond Johnston Jr,1,Low
Raymond Kenyon,1,Low
Raymond King Jr,3,Low
Raymond Paiva,11,Low
Raymond Sinapi,4,Low
Raymond Turcotte,27,High
Realtor Rob Viani,1,Low
Reba Golden,3,Low
Rebecca King,1,Low
Rebecca Mayer,18,Medium
Rebecca Moniz,3,Low
Rebecca Rubin,6,Low
Rebecca Sousa,1,Low
Regina Hosey,7,Low
Reinaldo Gonzalez,1,Low
Renato De Lima,24,High
Rene C. Hague,5,Low
Rene Ruiz,1,Low
Renee Boiteau,9,Low
Renee D'Amico,3,Low
Renee WELCHMAN,1,Low
Rex Henderson,7,Low
Rhonda Mesenbourg,3,Low
Rhonda Sasa,4,Low
Rhonda Schneider,2,Low
Rhonda Vieira Cherry,6,Low
Ricardo Mourato,9,Low
Rich ABRUZZINI,1,Low
Rich Epstein,8,Low
Richard Baccari,1,Low
Richard Cascella,1,Low
Richard Corso,2,Low
Richard Drolet,4,Low
Richard Holsombach,3,Low
Richard Johnston,1,Low
Richard Lemieux,4,Low
Richard Lemos,5,Low
Richard Madden,1,Low
Richard Oliver,2,Low
Richard Olivo,9,Low
Richard Perelman,24,High
Richard Rebolledo,2,Low
Richard Stublarec,2,Low
Richard Tessier,16,Medium
Richard Wasserman,1,Low
Richard Wixted,3,Low
Richard Zompa,3,Low
Rick Annese,6,Low
Rick Harrington,7,Low
Rick Lemek,4,Low
Rick Moulton,3,Low
Rick Oriani,3,Low
Rick Smith,3,Low
Rick Thibeault,6,Low
Ricky Nunez,1,Low
Rimac Group,4,Low
Rita Benoit,5,Low
Rita Braude,1,Low
Rita Steele,4,Low
Rita WRIGHT,3,Low
Rito DeCarvalho,9,Low
Ro Kilduff,3,Low
Rob Doorley,6,Low
Rob Paliotta,6,Low
Rob Shaw,2,Low
Rob Williamson,8,Low
Robert Black Jr,1,Low
Robert Bohlen,4,Low
Robert Cressman,1,Low
Robert Crudale,13,Medium
Robert DaRocha,1,Low
Robert Dye,2,Low
Robert Frias,1,Low
Robert Gallo,1,Low
Robert Hollands,8,Low
Robert Moore,1,Low
Robert Nasiatka,3,Low
Robert Perillo,9,Low
Robert Rutley,6,Low
Robert Scaralia,4,Low
Robert Scungio,1,Low
Robert Shirley,11,Low
Robert Sousa,1,Low
Roberto Barrera,1,Low
Roberto Mejia,1,Low
Robin Adams,4,Low
Robin Chaplin,1,Low
Robin Chudnow-Marsh,11,Low
Robin Garceau,2,Low
Robin Gold-Riccitelli,10,Low
Robin Lozito,24,High
Robin MacMillan,2,Low
Robin Mott,2,Low
Robin Pastore,37,High
Robyn Ryan,2,Low
Rochelle Ziegler,11,Low
Roger Duque,8,Low
Roger Sylvia,1,Low
Roger Tortolani,9,Low
Ron Allaire,4,Low
Ron Bianco,1,Low
Ron Cataldi,4,Low
Ron Glanville,2,Low
Ron LeClair,15,Medium
Ron Mercurio,12,Medium
Ron Phipps,3,Low
Ron Torbik,4,Low
Ronald Caliri,3,Low
Ronald Duquette,21,High
Ronald Faria,2,Low
Ronald Rupp,1,Low
Ronald Rusin,1,Low
Ronald Vincent,2,Low
Ronald Zaremba,1,Low
Ronnie TOSONI,7,Low
Rosa DaRosa,1,Low
Rosa Viveiros,11,Low
Rosamaria Pereira,4,Low
Rosanny Bourdierd,1,Low
Rose Anne DeAngelis,4,Low
Rose Barbosa,5,Low
Rose Gardner,5,Low
Rose Hannah,1,Low
Rose Marie Beauchemin,1,Low
Roseann Dugan,4,Low
Roseann Halladay,20,High
Roselina Perlini,3,Low
RoseMarie Clemente,10,Low
Ross Notaroberto,1,Low
Rotha Tho-Svay,3,Low
Roxanne Pacella,1,Low
Russell Guerriero,1,Low
Ruth DiPietrantonio,1,Low
Ruth Littleton,2,Low
Ryan Antrop,25,High
Ryan Fonseca,13,Medium
Ryan Gehris,1,Low
Ryan Resendes,1,Low
Ryan Schreffler,2,Low
Sally Corbin,2,Low
Sally Hersey,26,High
Sally Lapides,1,Low
Sally Rianna,8,Low
Salvatore Capirchio Jr,1,Low
Sam Barchi,8,Low
Sam Butterfield,5,Low
Sam Glicksman,13,Medium
Sam Zonfrillo,1,Low
Samantha Baudreau,1,Low
Samantha Copeland,5,Low
Samantha Durand,45,High
Samuel Alba,17,Medium
Samuel Albert,3,Low
Samuel Nouel,2,Low
San Silva,12,Medium
Sandi Warner,2,Low
Sandie Heilmann,3,Low
Sandra Baker,6,Low
Sandra Church,1,Low
Sandra Codner,1,Low
Sandra Copley-Menard,2,Low
Sandra Garcia,2,Low
Sandra McNamara,30,High
Sandra O'Brien,1,Low
Sandra Richard,1,Low
Sandra Sousa,8,Low
Sandra Sullivan,4,Low
Sandy Brown,1,Low
Sandy Conca,3,Low
Sandy Conway Catanzaro,6,Low
Sandy Deignan,10,Low
Sandy Pellegrino,16,Medium
Sandy Soares,4,Low
Sara Andrews,7,Low
Sara Catanzaro,3,Low
Sara Chaffee-Standish,1,Low
Sara Heathcote,10,Low
Sara Karalekas,10,Low
Sara Sullivan,5,Low
Sarah Huard,1,Low
Sarah Jane Fournier,4,Low
Sarah LaRosa,1,Low
Sarah Principe,2,Low
Sarah Santos,1,Low
Sarah WHEATON,7,Low
Sasha Mellor,1,Low
Scaralia Group,2,Low
Scott Aceto,12,Medium
Scott Bianco,2,Low
Scott Egersheim,7,Low
Scott Freerksen,2,Low
Scott Grandfield,16,Medium
Scott Martin,9,Low
Scott McCoy,1,Low
Scott McGee,24,High
Scott Nagy,7,Low
Scott O'Donnell,1,Low
Sean Amaral,5,Low
Sean Carey,2,Low
Sean Carlino Esq.,3,Low
Sean Fox,1,Low
Sean Harrington,9,Low
Sean Hevenor,4,Low
Sean Lawrence,1,Low
Sebastian Casas,2,Low
Seth Leavitt,5,Low
Shamila Ahmed,7,Low
Shana Boyer,11,Low
Shana Speer,5,Low
Shane Feeney,1,Low
Shane Halajko,4,Low
Shannan Fix,2,Low
Shannon Brito,1,Low
Shannon E. Norris,1,Low
Shannon Mace,6,Low
Shari Soucy,10,Low
Sharisse Schweikert - Keetz,1,Low
Sharlene Lytle,2,Low
Sharon Cambio,1,Low
Sharon Cicerone,3,Low
Sharon Erban,2,Low
Sharon Field,3,Low
Sharon Ford,3,Low
Sharon Gordon,1,Low
Sharon Janikies,1,Low
Sharon Moskwa,5,Low
Sharon Moylan,5,Low
Sharon PHILIPP,1,Low
Sharond Delance,7,Low
Shaun Branch,4,Low
Shawn Proulx,2,Low
Shawna Scotti,1,Low
Shaylyn McCauley,2,Low
Sheila Beckwith,1,Low
Sheila Koback,1,Low
Shelia VERDI,1,Low
Shelley Andrade,2,Low
Shelly Ann D'Amico,15,Medium
Shelly Armstrong,1,Low
Shelly Martinez,1,Low
Sheri Quaglia Bishop,6,Low
Sherrell Prefontaine,2,Low
Sherri-Lynn Milkie,1,Low
Sherri Ann Boisvert,1,Low
Sherri Faria,2,Low
Sherri Mercurio,11,Low
Sherrie Rotenberg,9,Low
Sherry McGonigle,1,Low
Sheryl Costantino,1,Low
Sheryle Degirolamo,1,Low
Shirley Mello,1,Low
Shirley Toombs,1,Low
Shon Campbell,1,Low
Sindy Pierce,1,Low
Sindye Tonole,13,Medium
Sizer Avila,3,Low
Sokhna DaLuz,14,Medium
Solaura Kushimo,1,Low
Sonia Gervazio Cruz,2,Low
Sophie Flori,1,Low
Sousan Karwashan,1,Low
Spectrum REC Real Estate Consultants,92,High
Spinnaker Group,1,Low
Srdan Zdravkovic,1,Low
Stacey Behan,6,Low
Stacey Bouthillier,1,Low
Stacey ELIADES,4,Low
Stacey Garcia,4,Low
Stacey Wood,1,Low
Stacy Corrigan,7,Low
Stanley Kuziel,1,Low
Stefan Hristov,1,Low
Stefanie Marta,2,Low
Stella Chalkiadakis,3,Low
Stephanie Baker,2,Low
Stephanie Barbusci,2,Low
Stephanie Basile,12,Medium
Stephanie Ceceri,2,Low
Stephanie Cohen,7,Low
Stephanie Corsetti,2,Low
Stephanie Demers,1,Low
Stephanie Fernandes,4,Low
Stephanie Piantadosi,11,Low
Stephanie Rossi,3,Low
Stephanie Soscia,12,Medium
Stephanie Tyrwhitt-Drake,5,Low
Stephen Antoni,5,Low
Stephen Brunero,1,Low
Stephen Dion,10,Low
Stephen Forleo,6,Low
Stephen Gachowski,4,Low
Stephen LAKE,1,Low
Stephen Laxton,1,Low
Stephen Perrino,11,Low
Stephen Sibiga,18,Medium
Stephen Smith,5,Low
Stephen Thibodeau,7,Low
Stephen Thornton,1,Low
Stephen Webster,3,Low
Stephen Zeboski,1,Low
Steve Cook,2,Low
Steve DeAngelis,3,Low
Steve Eccleston,9,Low
Steve Gillikin,2,Low
Steve Koback,1,Low
Steve Puleo Team,1,Low
Steve Riley,5,Low
Steven Alviti,1,Low
Steven Borowick,1,Low
Steven Iafrate,8,Low
Steven Marasco,1,Low
Steven McGill,1,Low
Steven Miller,8,Low
Steven Miller Group,4,Low
Steven Proulx,5,Low
Steven Rei,2,Low
Steven Verdecchia,10,Low
Sue Beaudet,3,Low
Sue Dicks,6,Low
Sue Erkkinen,11,Low
Sue Powers,1,Low
Sue Silva,1,Low
Susan Abramson,3,Low
Susan Clough,1,Low
Susan Dando,3,Low
Susan Garganese,1,Low
Susan Gower,3,Low
Susan Henderson,10,Low
Susan Joseph,2,Low
Susan Kelly,5,Low
Susan Kostas,4,Low
Susan Leach,17,Medium
Susan Martins-Phipps,1,Low
Susan Mitchell,1,Low
Susan Perry,5,Low
Susan Piccolomini,1,Low
Susan Rains,2,Low
Susan Rouvelas,8,Low
Susan Rowles,15,Medium
Susan Schultz,5,Low
Susan Shore,4,Low
Susan Tavares,1,Low
Susan Tierney,1,Low
Susana Glass,3,Low
Susanne Travisono,9,Low
Sussy DeLeon,12,Medium
Suzanne Balfour,4,Low
Suzanne Dash,10,Low
Suzanne Poisson,3,Low
Suzanne Ranieri,6,Low
Suzanne Viner,6,Low
Suzzanna Downing,2,Low
Sylvia Santilli,4,Low
Sylvia Vallante,4,Low
T J Moretti,1,Low
T. Todd Brown,1,Low
Tajauna Warren,1,Low
Tamara Cerullo,1,Low
Tammi White,8,Low
Tammy Pelletier,5,Low
Tanisha Perona,1,Low
Tanya Costa,3,Low
Tara Buonaiuto,1,Low
Tara Demyan,5,Low
Tara Kermen,1,Low
Tasha Williams,1,Low
Taylor & Associates,11,Low
Taylor & Company,25,High
Team Atlantic,2,Low
Team Dandurand,16,Medium
Team Pizzarelli Group,14,Medium
Ted DiFilippo,3,Low
Ted Friedman,7,Low
Ted Musiol,2,Low
Ted Ngo,6,Low
Teresa Converse,1,Low
Teresa Level,7,Low
Teresa Ward,2,Low
Teri Degnan,1,Low
Terilyn Dorvall,4,Low
Terri Abbruzzese,3,Low
Terri Hollingworth,4,Low
Terri Lehnertz,1,Low
Terri Stevens,2,Low
Terry Bun,1,Low
Terry Cipolla,29,High
Terry Tiernan,3,Low
Terry Twombly,10,Low
The ALBA Group,2,Low
The Boiteau Team,4,Low
The Bove Team,1,Low
The Chad Kritzas Team,4,Low
The Chris Woodard Team,3,Low
The Connor Dowd Realty Group,4,Low
The Dias Team,38,High
The DiSpirito Team,57,High
The Dumont Realty Group,9,Low
The East Coast Team,5,Low
The Fooks Team,1,Low
The Goss Team,1,Low
The Hall Group,8,Low
The Home Team,2,Low
The John Risica Team,8,Low
The Karalekas Team,1,Low
The Kathy Bain Farrell Team,48,High
The Martone Group,33,High
The McKinnon Team,7,Low
The Meg & David Chapman Team,1,Low
The Mercurio Group,22,High
The Nick Slocum Team,9,Low
The Perrille/Veltri Group,61,High
The Peter Izzi Team,4,Low
The Platinum Group,2,Low
The Realpro Group,5,Low
The Richard Team,3,Low
The Rockwell & Pierard Team,16,Medium
The Saccoccio Group,5,Low
The Samborsky Team,1,Low
The Stone Alliance,4,Low
The Storm Team,4,Low
The Sussy Deleon Team,25,High
The Welcome Home Team,7,Low
The Wright Connection,1,Low
Theodore Bourque,23,High
Theresa Haddad Maynard,1,Low
Theresa Lefebvre,1,Low
Theresa Siani,7,Low
Therese Stafford,1,Low
Therese VEZERIDIS,2,Low
Thomas Andolfo,1,Low
Thomas Bousquet,1,Low
Thomas Brown,2,Low
Thomas Clayton,5,Low
Thomas Dodd,5,Low
Thomas Fiorio,1,Low
Thomas Goss,2,Low
Thomas Hammond,9,Low
Thomas Holt,1,Low
Thomas Kane,2,Low
Thomas Magee,4,Low
Thomas McMicken,4,Low
Thomas Michael,11,Low
Thomas Partridge,1,Low
Thomas Peachey,5,Low
Thomas Piantadosi,16,Medium
Thomas Pisano,3,Low
Thomas Ruest,1,Low
Thomas Wegner,3,Low
Tiffany Page,2,Low
Tim Devol,1,Low
Tim Silvia,10,Low
Timothy Bagley,2,Low
Timothy Mullaney,1,Low
Timothy Sanginario,1,Low
Timothy Stebenne,6,Low
Tina Adams,6,Low
Tina Calci,1,Low
Tina Golant,4,Low
Tina HARTLEY,15,Medium
Tina Rose,12,Medium
Tj Ciolfi,12,Medium
Tom Avila,1,Low
Tom Goss,30,High
Tom Hazel,3,Low
Tom Jordan,2,Low
Tom Keith,6,Low
Tom Pastore,4,Low
Tom Rao,1,Low
Tom TIMBERLAKE,2,Low
Tom Travers,5,Low
Toni Marie Roderick,1,Low
Tony Ciccarone,2,Low
Tony D'Uva,5,Low
Tony Gaudiana,4,Low
Tony Gelfusa,1,Low
Tony Iadevaia,1,Low
Tony Lanni,25,High
Tony Verdi,7,Low
Tonya Peluso,11,Low
Topnotch Real Estate In Ri Team,1,Low
Tori Turco,2,Low
Tracey Colucci,6,Low
Tracey Mulvey,5,Low
Tracey Muto Johnson,2,Low
Tracey Orchard,3,Low
Tracey Pierce,4,Low
Tracie Hall,2,Low
Tracy Accaoui,1,Low
Tracy Albernaz,4,Low
Tracy LeRoux,4,Low
Tracy Levine,2,Low
Tracy Mary Shawcross,7,Low
Tracy Sisson,7,Low
Travassos & Kusiak,8,Low
Travis Auty,1,Low
Tricia Coury,5,Low
Trish Marrapese,5,Low
Trish Sitcoske,7,Low
Trish Vasseur,5,Low
Tshombe Lambert,1,Low
Tyler Doran,1,Low
Tyler Gammons,2,Low
Tyler Meegan,3,Low
Urszula Barglowska,3,Low
V.Edward Fayan,12,Medium
Valentino Tirocchi,1,Low
Valerie Girouard,3,Low
Valerie Knight,3,Low
Valerie Stadnik,3,Low
Vanessa Ashton,1,Low
Vanessa Christofaro,2,Low
Vanessa Kong,1,Low
Vanessa Piscitelli,2,Low
Verna Pezzullo,1,Low
Veronica Gazeryan,1,Low
Vickie Pizzarelli,4,Low
Victor Ekenavie,3,Low
Victor Pereira,2,Low
Victor Vargas,2,Low
Victoria Antonelli,48,High
Victoria Calabro,11,Low
Victoria Clare,1,Low
Victoria Doran,4,Low
Vilma Ruiz,2,Low
Vincent Campanella,3,Low
Vincent Fraioli,3,Low
Vincent Langella,2,Low
Vincent Letizia,16,Medium
Vincent Santagata,1,Low
Vincenzo LoBuono,2,Low
Vinny Turchetta,2,Low
Viola Floru,1,Low
Virgen Nieves,27,High
Viviana Ciccia,1,Low
Vladmir Pires,2,Low
W. George Buteau,3,Low
WARREN WRIGHT,1,Low
Wayne Connetti,3,Low
Wayne Farina,2,Low
Wendeth O'Neill,1,Low
Wendie Fillmore-Palermo,5,Low
Wendy Bowen,2,Low
Wendy Garcia,10,Low
Wendy Lord Harvey,1,Low
Wil Hernandez,3,Low
Wilfredo Jimenez,1,Low
Wilfredo Ulloa,1,Low
Wilkins Henderson,1,Low
William Hermistone,2,Low
William Huling Jr,2,Low
William McCaffrey,4,Low
William McIntosh,2,Low
William Muir,2,Low
William Tirrell,15,Medium
William Wright,8,Low
Winston Ho,4,Low
Yalis Chamberlin,3,Low
Yang Gaudreau,7,Low
Yaniur Perez,28,High
Yanna Tow,2,Low
Yannee Doeur,21,High
Yolanda Nazario,7,Low
Yue Ling Chung,1,Low
Yvonne Sousa,8,Low
Yvonne Thompson,4,Low
Zachary Pezzullo,1,Low
Zachary Samborsky,2,Low
Zachary Ugarte,2,Low
Ziggy Stevens,7,Low
ZRG Sales & Purchasing Division,2,Low
