ListAgent,ListSideNumber,ListAgentRank
Susan Leach,9,Low
Susan Martins-Phipps,1,Low
Susan Perry,2,Low
Susan Rouvelas,4,Low
Susan Rowles,24,High
Susan Schultz,2,Low
Susan Shore,9,Low
Susan Tierney,1,Low
Susana Glass,4,Low
Sussy DeLeon,11,Low
Suzanne Baptista Kealey,1,Low
Suzanne Dash,2,Low
Suzanne Poisson,4,Low
Suzanne Prescott,3,Low
Suzanne Ranieri,1,Low
Suzanne Viner,1,Low
Suzzanna Downing,1,Low
Sylvia Santilli,5,Low
Sylvia Vallante,6,Low
T. Todd Brown,1,Low
Tamara Cerullo,1,Low
Tammy Pelletier,8,Low
Tanisha Perona,1,Low
Tanya Costa,2,Low
Tara Brady,3,Low
Tara Cancel,2,Low
Tara Demyan,1,Low
Taylor & Associates,7,Low
Taylor & Company,41,High
Team Atlantic,3,Low
Team Dandurand,32,High
Team Pizzarelli Group,10,Low
Ted DiFilippo,1,Low
Ted Musiol,1,Low
Ted Ngo,3,Low
Teresa Level,4,Low
Teresa Ward,1,Low
Teri Degnan,1,Low
Terilyn Dorvall,2,Low
Terri Abbruzzese,2,Low
Terri Hollingworth,1,Low
Terri Nault-Elias,1,Low
Terri Stevens,1,Low
Terry Cipolla,41,High
Terry Twombly,1,Low
Tery Pedro-Matrone,2,Low
The ALBA Group,8,Low
The Bellevue Group,1,Low
The Boiteau Team,7,Low
The Bove Team,1,Low
The Chad Kritzas Team,2,Low
The Chris Woodard Team,6,Low
The Connor Dowd Realty Group,1,Low
The Coutu Connection,7,Low
The Dias Team,64,High
The DiSpirito Team,78,High
The Donna Dalton Team,2,Low
The Dumont Realty Group,5,Low
The East Coast Team,3,Low
The Fooks Team,15,Medium
The Forbes Group,1,Low
The Goss Team,2,Low
The Hall Group,36,High
The Home Team,9,Low
The John Risica Team,9,Low
The Karalekas Team,15,Medium
The Kathy Bain Farrell Team,117,High
The LaRiviere Team,9,Low
The Lombardi Group,1,Low
The McKinnon Team,21,High
The Mellor Team,1,Low
The Mercurio Group,54,High
The Monaco Group,1,Low
The Morrison Group,4,Low
The Nick Slocum Team,13,Medium
The Perrille/Veltri Group,39,High
The Peter Izzi Team,11,Low
The Platinum Group,18,Medium
The Realpro Group,5,Low
The Richard Team,4,Low
The Ridgely Team,2,Low
The Rockwell & Pierard Team,23,High
The Saccoccio Group,7,Low
The Samborsky Team,25,High
The Scott Buller  Team,1,Low
The Stone Alliance,15,Medium
The Storm Team,8,Low
The Sussy Deleon Team,29,High
The Welcome Home Team,8,Low
The Wright Connection,11,Low
Theresa D'Ordine,3,Low
Theresa Haddad Maynard,1,Low
Theresa Lefebvre,1,Low
Therese VEZERIDIS,1,Low
Thomas Bousquet,1,Low
Thomas Brown,1,Low
Thomas Clayton,7,Low
Thomas Dodd,1,Low
Thomas Goss,1,Low
Thomas Hammond,12,Medium
Thomas Hourigan,1,Low
Thomas McMicken,6,Low
Thomas Michael,8,Low
Thomas Peachey,2,Low
Thomas Perrotta,1,Low
Thomas Piantadosi,75,High
Thomas Pisano,3,Low
Thomas Ruest,2,Low
Thomas Wegner,3,Low
Tim Silvia,6,Low
Timothy Bagley,3,Low
Timothy Mullaney,1,Low
Timothy Stebenne,7,Low
Tina Adams,5,Low
Tina Golant,3,Low
Tina Rose,16,Medium
Tj Ciolfi,6,Low
Tom Goss,9,Low
Tom Hazel,1,Low
Tom Jordan,4,Low
Tom Keith,1,Low
Tom Little,1,Low
Tom Pastore,17,Medium
Tom Rao,1,Low
Tom TIMBERLAKE,5,Low
Tom Travers,1,Low
Tony Ciccarone,2,Low
Tony D'Uva,8,Low
Tony Gaudiana,5,Low
Tony Iadevaia,2,Low
Tony Lanni,9,Low
Tony Verdi,10,Low
Tonya Peluso,3,Low
Topnotch Real Estate In Ri Team,1,Low
Tori DeSimone,1,Low
Tori Turco,3,Low
Tracey Colucci,7,Low
Tracey Mulvey,1,Low
Tracey Orchard,2,Low
Tracey Pierce,2,Low
Tracy Accaoui,1,Low
Tracy LeRoux,6,Low
Tracy Mary Shawcross,5,Low
Tracy Sisson,2,Low
Travassos & Kusiak,12,Medium
Travis Auty,1,Low
Tricia Coury,1,Low
Trish Marrapese,6,Low
Trish Perfetto,1,Low
Trish Sitcoske,12,Medium
Trish Vasseur,1,Low
Trudy Cipriano,2,Low
Tshombe Lambert,1,Low
Tyler Gammons,2,Low
V.Edward Fayan,7,Low
Valentino Tirocchi,1,Low
Valerie Knight,2,Low
Valerie Stadnik,6,Low
Vanessa Christofaro,6,Low
Verna Gauthier,1,Low
Verna Pezzullo,1,Low
Veronica Gazeryan,1,Low
Vickie Pizzarelli,1,Low
Victor Ekenavie,1,Low
Victoria Antonelli,27,High
Victoria Calabro,25,High
Victoria Doran,8,Low
Vilma Ruiz,1,Low
Vincent Fraioli,2,Low
Vincent Langella,5,Low
Vincent Letizia,4,Low
Vincent Santagata,2,Low
Vincenzo LoBuono,1,Low
Viola Floru,2,Low
Virgen Nieves,7,Low
Vladmir Pires,1,Low
W. George Buteau,1,Low
Walter Manning,1,Low
Wanda Vanier,2,Low
WARREN WRIGHT,1,Low
Wayne Connetti,10,Low
Wendeth O'Neill,1,Low
Wendie Fillmore-Palermo,8,Low
Wendy Garcia,1,Low
Wendy Hawkins,3,Low
Will LITVIN,1,Low
William McCaffrey,3,Low
William McIntosh,2,Low
William Muir,2,Low
William Scott,1,Low
William Tirrell,19,Medium
William Wright,1,Low
William Zayat,1,Low
Yalis Chamberlin,1,Low
Yang Gaudreau,2,Low
Yaniur Perez,14,Medium
Yannee Doeur,42,High
Yolanda Nazario,1,Low
Yvonne Thompson,1,Low
Zak Fang,1,Low
Ziggy Stevens,13,Medium
ZRG Sales & Purchasing Division,7,Low
